,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,m_w_definition,m_w_synonyms,m_w_synonyms_in_data,m_w_antonyms,m_w_antonyms_in_data,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,tsne_x,tsne_y
34,the,the,the,35,5,3,Verse 1: Will Smith,1,2,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,"['—used as a function word to indicate that a following noun or noun equivalent is definite or has been previously specified by context or by circumstance', '—used as a function word to indicate that a following noun or noun equivalent is a unique or a particular member of its class', '—used as a function word before nouns that designate natural phenomena or points of the compass']","[['beer and skittles', 'easy street', 'fun and games', 'hog heaven', 'picnic']]",[],[],[], from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9636,84,0.4772727272727273,7.080093,-14.82014
35,first,first,first,36,5,3,Verse 1: Will Smith,1,3,2,2,2,"[36, 79]","[('first', 'RB')]",ADV,POSITIVE,0.9978,"['preceding all others in time, order, or importance: such as', 'earliest', 'being the lowest forward gear or speed of a motor vehicle']","[['earliest', 'foremost', 'headmost', 'inaugural', 'initial', 'leadoff', 'maiden', 'original', 'pioneer', 'premier', 'virgin'], ['arch', 'big', 'capital', 'cardinal', 'central', 'chief', 'dominant', 'foremost', 'grand', 'great', 'greatest', 'highest', 'key', 'leading', 'main', 'master', 'number one', 'numero uno', 'overbearing', 'overmastering', 'overriding', 'paramount', 'predominant', 'preeminent', 'premier', 'primal', 'primary', 'principal', 'prior', 'sovereign', 'supreme'], ['chief', 'commanding', 'foremost', 'head', 'high', 'lead', 'leading', 'preeminent', 'premier', 'presiding', 'primary', 'prime', 'principal', 'supereminent', 'supreme', 'top']]",['head'],"[['final', 'last', 'latest', 'latter', 'terminal', 'terminating', 'ultimate'], ['last', 'least']]",[], from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9978,156,0.8863636363636364,11.547821,22.190178
36,time,time,time,37,5,3,Verse 1: Will Smith,1,4,2,2,2,"[37, 273]","[('time', 'NN')]",N,POSITIVE,0.9581,"['the measured or measurable period during which an action, process, or condition exists or continues : duration', 'a nonspatial continuum that is measured in terms of events which succeed one another from past through present to future', 'leisure']","[['moment', 'occasion'], ['adventure', 'emprise', 'experience', 'exploit', 'gest', 'happening'], ['age', 'day', 'epoch', 'era', 'period'], ['continuance', 'date', 'duration', 'life', 'life span', 'lifetime', 'run', 'standing']]","['day', 'life', 'standing']",[],[], from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9581,82,0.4659090909090909,-5.951536,-1.2715664
37,the,the,the,38,5,3,Verse 1: Will Smith,1,5,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,"['—used as a function word to indicate that a following noun or noun equivalent is definite or has been previously specified by context or by circumstance', '—used as a function word to indicate that a following noun or noun equivalent is a unique or a particular member of its class', '—used as a function word before nouns that designate natural phenomena or points of the compass']","[['beer and skittles', 'easy street', 'fun and games', 'hog heaven', 'picnic']]",[],[],[], from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9636,84,0.4772727272727273,7.519002,-15.0888195
38,doctor,doctor,doctor,39,5,3,Verse 1: Will Smith,1,6,2,2,2,"[39, 262]","[('doctor', 'NN')]",N,POSITIVE,0.9869,"['an eminent theologian declared a sound expounder of doctrine by the Roman Catholic Church —called also doctor of the church', 'a learned or authoritative teacher', 'a person who has earned one of the highest academic degrees (such as a PhD) conferred by a university']","[['croaker', 'doc', 'medic', 'medico', 'physician', 'sawbones']]",[],"[['nondoctor', 'nonphysician']]",[], from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9869,112,0.6363636363636364,-15.2230215,-1.8813787
39,placed,placed,placed,40,5,3,Verse 1: Will Smith,1,7,2,2,2,"[40, 104]","[('placed', 'VBN')]",V,POSITIVE,0.9978,"['to put in or as if in a particular place or position : set', 'to present for consideration', 'to put in a particular state']","[['deposed', 'deposited', 'disposed', 'emplaced', 'fixed', 'laid', 'positioned', 'put', 'set', 'set up', 'situated', 'stuck'], ['assorted', 'broke down', 'categorized', 'classed', 'classified', 'codified', 'compartmentalized', 'compartmented', 'digested', 'distinguished', 'distributed', 'graded', 'grouped', 'pegged', 'ranged', 'ranked', 'relegated', 'separated', 'sorted', 'typed'], ['calculated', 'called', 'conjectured', 'estimated', 'figured', 'gauged', 'guessed', 'judged', 'made', 'put', 'reckoned', 'supposed'], ['graded', 'ranked', 'rated', 'stood', 'was'], ['appointed', 'assigned', 'attached', 'commissioned', 'constituted', 'designated', 'detailed', 'named', 'nominated'], ['broached', 'brought up', 'introduced', 'mooted', 'raised'], ['assumed', 'employed', 'engaged', 'feed', 'hired', 'laid on', 'paid', 'recruited', 'retained', 'signed (up or on)', 'took on']]","['was', 'paid']","[['discharged', 'dismissed', 'expelled', 'fired'], ['axed', 'canned', 'discharged', 'dismissed', 'fired', 'sacked']]",[], from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9978,156,0.8863636363636364,1.3839005,-15.667467
40,you,you,you,41,5,3,Verse 1: Will Smith,1,8,30,27,27,"[41, 53, 101, 105, 142, 175, 213, 225, 245, 256, 270, 281, 289, 300, 319, 328, 342, 346, 351, 374, 385, 433, 445, 547, 550, 553, 570, 598, 603, 641]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,"['the one or ones being addressed —used as the pronoun of the second person singular or plural in any grammatical relation except that of a possessive —used formerly only as a plural pronoun of the second person in the dative or accusative case as direct or indirect object of a verb or as object of a preposition', 'one']","[['what all', 'whatever', 'whatnot']]",[],[],[], from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9991,168,0.9545454545454546,-37.58861,4.369074
41,in,in,in,42,5,3,Verse 1: Will Smith,1,9,11,8,8,"[42, 59, 90, 106, 205, 357, 377, 425, 505, 565, 633]","[('in', 'IN')]",PREP,POSITIVE,0.9790000000000001,"['—used as a function word to indicate inclusion, location, or position within limits', 'into', '—used as a function word to indicate means, medium, or instrumentality']","[['by', 'per', 'through', 'via', 'with']]",['with'],[],[], from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9790000000000001,97,0.5511363636363636,4.9898963,-23.51269
42,my,my,my,43,5,3,Verse 1: Will Smith,1,10,9,9,9,"[43, 60, 122, 134, 149, 172, 313, 478, 508]","[('my', 'PRP$')]",PRON,POSITIVE,0.9935,"['of or relating to me or myself especially as possessor, agent, object of an action, or familiar person', '—used interjectionally to express surprise and sometimes reduplicated —used also interjectionally with names of various parts of the body to express doubt or disapproval']","[['ah', 'aha', 'come on', 'fie', 'indeed', 'no', 'pshaw', 'well', 'what', 'why']]","['no', 'what', 'why']",[],[], from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9935,132,0.75,-12.189784,12.708048
43,arms,arms,arms,44,5,3,Verse 1: Will Smith,1,11,1,1,1,[44],"[('arms', 'NNS')]",N,POSITIVE,0.9996,"['a human upper limb; especially : the part between the shoulder and the wrist', 'something like or corresponding to an arm: such as', 'the forelimb of a vertebrate']","[['firearms', 'guns', 'heat', 'pieces', 'small arms']]",[],[],[], from the first time the doctor placed you in my arms,POSITIVE,0.9974,0.9974,38,0.7307692307692307,0.9996,173,0.9829545454545454,-7.6680536,3.3386981
44,I,I,I,45,6,3,Verse 1: Will Smith,2,12,30,27,27,"[45, 63, 111, 116, 119, 127, 138, 140, 152, 170, 215, 222, 226, 253, 267, 275, 292, 308, 316, 320, 325, 338, 392, 435, 452, 454, 475, 596, 643, 653]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,"['the 9th letter of the English alphabet', 'a graphic representation of this letter', 'a speech counterpart of orthographic i']",[],[],[],[], I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9797,98,0.5568181818181818,19.926853,4.453982
45,knew,knew,knew,46,6,3,Verse 1: Will Smith,2,13,1,1,1,[46],"[('knew', 'NNS')]",N,POSITIVE,0.996,[],"[['comprehended', 'grasped', 'understood'], ['endured', 'experienced', 'felt', 'had', 'passed', 'saw', 'suffered', 'sustained', 'tasted', 'underwent', 'witnessed'], ['appreciated', 'apprehended', 'assimilated', 'beheld', 'caught', 'caught on (to)', 'cognized', 'compassed', 'comprehended', 'conceived', 'cottoned (to or on to)', 'deciphered', 'decoded', 'discerned', 'dug', 'got', 'grasped', 'grokked', 'intuited', 'made', 'made out', 'perceived', 'recognized', 'registered', 'savvied', 'saw', 'seized', 'sensed', 'tumbled (to)', 'twigged', 'understood']]","['felt', 'had', 'conceived', 'got']",[['missed']],[], I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.996,144,0.8181818181818182,-4.106661,-4.6779447
46,I'd,I'd,I'd,47,6,3,Verse 1: Will Smith,2,14,2,2,2,"[47, 51]","[('I', 'PRP'), (""'d"", 'MD')]",MULT,POSITIVE,0.9956,['I would : I had : I should'],[],[],[],[], I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9956,142,0.8068181818181818,0.032477565,19.766375
47,meet,meet,meet,48,6,3,Verse 1: Will Smith,2,15,2,2,2,"[48, 54]","[('meet', 'NN')]",N,POSITIVE,0.9994,"['to come into the presence of : find', 'to come together with especially at a particular time or place', 'to come into contact or conjunction with : join']","[['catch', 'chance (upon)', 'encounter', 'happen (upon)', 'stumble (upon)'], ['assemble', 'cluster', 'collect', 'concenter', 'concentrate', 'conglomerate', 'congregate', 'convene', 'converge', 'forgather', 'gather', 'rendezvous'], ['chance (upon)', 'encounter', 'find', 'happen (on or upon)', 'hit (upon)', 'light (on or upon)', 'pitch (upon)', 'stumble (on or onto)', 'tumble (upon)'], ['answer', 'complete', 'comply (with)', 'fill', 'fulfill', 'keep', 'redeem', 'satisfy'], ['battle', 'encounter', 'engage', 'face', 'take on'], ['equal', 'match', 'tie'], ['abide', 'absorb', 'accept', 'bear', 'bide', 'brook', 'countenance', 'endure', 'go', 'hack', 'handle', 'pocket', 'stand', 'stick out', 'stomach', 'support', 'sustain', 'sweat out', 'take', 'tolerate', 'wear'], ['ante (up)', 'balance', 'clear', 'discharge', 'foot', 'liquidate', 'pay', 'pay off', 'pay up', 'pony up', 'quit', 'recompense', 'settle', 'spring (for)', 'stand']]","['keep', 'go', 'take']","[['break up', 'disband', 'disperse', 'split (up)'], ['breach', 'break', 'transgress', 'violate'], ['repudiate']]",['break'], I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9994,171,0.9715909090909091,-7.264828,-6.441186
48,death,death,death,49,6,3,Verse 1: Will Smith,2,16,1,1,1,[49],"[('death', 'NN')]",N,NEGATIVE,0.9997,"['a permanent cessation of all vital functions : the end of life', 'an instance of dying', 'the cause or occasion of loss of life']","[['curtains', 'decease', 'demise', 'dissolution', 'doom', 'end', 'exit', 'expiration', 'expiry', 'fate', 'grave', 'great divide', 'passage', 'passing', 'quietus', 'sleep'], ['dead', 'deadness', 'grave', 'lifelessness', 'nothingness', 'sleep'], ['demise', 'expiration', 'expiry', 'termination'], ['destruction', 'downfall', 'ruin', 'ruination', 'undoing'], ['bloodbath', 'butchery', 'carnage', 'holocaust', 'massacre', 'slaughter']]",[],"[['birth', 'nativity'], ['existence', 'life'], ['alpha', 'beginning', 'birth', 'commencement', 'creation', 'dawn', 'genesis', 'inception', 'incipience', 'incipiency', 'launch', 'morning', 'onset', 'outset', 'start']]",['life'], I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,-0.9997,1,0.005681818181818182,-13.2673,5.0099254
49,before,before,before,50,6,3,Verse 1: Will Smith,2,17,1,1,1,[50],"[('before', 'IN')]",PREP,POSITIVE,0.8023,"['in advance : ahead', 'at an earlier time']","[['afore', 'ahead of', 'ere', 'fore', 'of', 'previous to', 'prior to', 'to'], ['afore', 'ahead of', 'fore']]","['of', 'to']","[['after', 'following'], ['after', 'following']]",[], I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.8023,57,0.32386363636363635,11.947214,-5.24158
50,I'd,I'd,I'd,51,6,3,Verse 1: Will Smith,2,18,2,2,2,"[47, 51]","[('I', 'PRP'), (""'d"", 'MD')]",MULT,POSITIVE,0.9956,['I would : I had : I should'],[],[],[],[], I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9956,142,0.8068181818181818,0.0324864,19.76672
51,let,let,let,52,6,3,Verse 1: Will Smith,2,19,3,3,3,"[52, 157, 555]","[('let', 'VB')]",V,NEGATIVE,0.7554,"['to cause to : make', 'to give opportunity to or fail to prevent', '—used in the imperative to introduce a request or proposal']","[['allow', 'leave', 'permit'], ['lease', 'rent'], ['allow', 'empower', 'enable', 'permit'], ['allow', 'permit', 'suffer', 'tolerate']]",[],"[['enjoin', 'forbid', 'prohibit'], ['prevent'], ['bar', 'block', 'constrain', 'prevent']]",[], I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,-0.7554,45,0.2556818181818182,-4.247558,-17.25014
52,you,you,you,53,6,3,Verse 1: Will Smith,2,20,30,27,27,"[41, 53, 101, 105, 142, 175, 213, 225, 245, 256, 270, 281, 289, 300, 319, 328, 342, 346, 351, 374, 385, 433, 445, 547, 550, 553, 570, 598, 603, 641]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,"['the one or ones being addressed —used as the pronoun of the second person singular or plural in any grammatical relation except that of a possessive —used formerly only as a plural pronoun of the second person in the dative or accusative case as direct or indirect object of a verb or as object of a preposition', 'one']","[['what all', 'whatever', 'whatnot']]",[],[],[], I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9991,168,0.9545454545454546,-38.817966,6.3281794
53,meet,meet,meet,54,6,3,Verse 1: Will Smith,2,21,2,2,2,"[48, 54]","[('meet', 'NN')]",N,POSITIVE,0.9994,"['to come into the presence of : find', 'to come together with especially at a particular time or place', 'to come into contact or conjunction with : join']","[['catch', 'chance (upon)', 'encounter', 'happen (upon)', 'stumble (upon)'], ['assemble', 'cluster', 'collect', 'concenter', 'concentrate', 'conglomerate', 'congregate', 'convene', 'converge', 'forgather', 'gather', 'rendezvous'], ['chance (upon)', 'encounter', 'find', 'happen (on or upon)', 'hit (upon)', 'light (on or upon)', 'pitch (upon)', 'stumble (on or onto)', 'tumble (upon)'], ['answer', 'complete', 'comply (with)', 'fill', 'fulfill', 'keep', 'redeem', 'satisfy'], ['battle', 'encounter', 'engage', 'face', 'take on'], ['equal', 'match', 'tie'], ['abide', 'absorb', 'accept', 'bear', 'bide', 'brook', 'countenance', 'endure', 'go', 'hack', 'handle', 'pocket', 'stand', 'stick out', 'stomach', 'support', 'sustain', 'sweat out', 'take', 'tolerate', 'wear'], ['ante (up)', 'balance', 'clear', 'discharge', 'foot', 'liquidate', 'pay', 'pay off', 'pay up', 'pony up', 'quit', 'recompense', 'settle', 'spring (for)', 'stand']]","['keep', 'go', 'take']","[['break up', 'disband', 'disperse', 'split (up)'], ['breach', 'break', 'transgress', 'violate'], ['repudiate']]",['break'], I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,0.9994,171,0.9715909090909091,-7.264834,-6.441106
54,harm,harm,harm,55,6,3,Verse 1: Will Smith,2,22,1,1,1,[55],"[('harm', 'NN')]",N,NEGATIVE,0.9997,"['physical or mental damage : injury', 'mischief, hurt']","[['affliction', 'damage', 'detriment', 'hurt', 'injury']]",['hurt'],[],[], I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-0.9821,13,0.25,-0.9997,1,0.005681818181818182,1.6522919,-6.339485
55,Although,Although,although,56,7,3,Verse 1: Will Smith,3,23,1,1,1,[56],"[('although', 'IN')]",PREP,NEGATIVE,0.8668,['in spite of the fact that : even though'],"[['albeit', 'as', 'howbeit', 'much as', 'notwithstanding', 'though', 'when', 'whereas', 'while', 'whilst']]","['as', 'when']",[],[], although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,-0.8668,43,0.24431818181818182,11.464895,-7.2614264
56,questions,questions,questions,57,7,3,Verse 1: Will Smith,3,24,1,1,1,[57],"[('questions', 'NNS')]",N,NEGATIVE,0.8590000000000001,"['to ask a question of or about', 'to interrogate intensively : cross-examine', 'doubt, dispute']","[['interrogatives', 'problems'], ['calls', 'inquiries', 'queries', 'requests'], ['challenges', 'complaints', 'demurrals', 'demurrers', 'demurs', 'difficulties', 'exceptions', 'expostulations', 'fusses', 'kicks', 'objections', 'protests', 'remonstrances', 'stinks'], ['contents', 'matters', 'motifs', 'motives', 'subjects', 'themes', 'topics']]",[],[],[], although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,-0.8590000000000001,44,0.25,-9.005351,1.14603
57,arose,arose,arose,58,7,3,Verse 1: Will Smith,3,25,1,1,1,[58],"[('arose', 'NN')]",N,POSITIVE,0.9921,[],"[['got up', 'rolled out', 'rose', 'turned out', 'uprose'], ['came up', 'cropped (up)', 'emerged', 'materialized', 'sprang (up)', 'surfaced'], ['actualized', 'appeared', 'began', 'broke', 'commenced', 'dawned', 'engendered', 'formed', 'materialized', 'originated', 'set in', 'sprang', 'started'], ['ascended', 'aspired', 'climbed', 'lifted', 'mounted', 'rose', 'soared', 'thrust', 'upped', 'upreared', 'uprose', 'upthrusted', 'upturned']]",[],"[['bedded (down)', 'retired', 'turned in'], ['ceased', 'ended', 'stopped'], ['declined', 'descended', 'dipped', 'dropped', 'fell (off)', 'plunged']]",[], although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-0.8954,21,0.40384615384615385,0.9921,124,0.7045454545454546,1.9464872,-7.523744
